"name","zipcode","judet"
"BUCURESTI","010011","BUCURESTI SECTOR 1"
"BUCURESTI","020010","BUCURESTI SECTOR 2"
"BUCURESTI","030010","BUCURESTI SECTOR 3"
"BUCURESTI","040010","BUCURESTI SECTOR 4"
"BUCURESTI","050010","BUCURESTI SECTOR 5"
"BUCURESTI","060010","BUCURESTI SECTOR 6"
"BUFTEA","070000","ILFOV"
"BUCIUMENI","070001","ILFOV"
"OTOPENI","075100","ILFOV"
"ODAILE","075101","ILFOV"
"AEROPORTUL OTOPENI","075150","ILFOV"
"1 DECEMBRIE","077005","ILFOV"
"COPACENI","077006","ILFOV"
"AFUMATI","077010","ILFOV"
"BALOTESTI","077015","ILFOV"
"DUMBRAVENI","077016","ILFOV"
"SAFTICA","077017","ILFOV"
"BERCENI","077020","ILFOV"
"BRAGADIRU","077025","ILFOV"
"BRANESTI","077030","ILFOV"
"ISLAZ","077031","ILFOV"
"PASAREA","077032","ARGES"
"VADU ANEI","077033","ILFOV"
"CERNICA","077035","ILFOV"
"BALACEANCA","077036","ILFOV"
"CALDARARU","077037","ILFOV"
"POSTA","077038","ILFOV"
"TANGANU","077039","ILFOV"
"CHIAJNA","077040","ILFOV"
"DUDU","077041","ILFOV"
"ROSU","077042","ILFOV"
"CHITILA","077045","ILFOV"
"RUDENI","077046","ILFOV"
"CIOLPANI","077050","ILFOV"
"IZVORANI","077051","ILFOV"
"LUPARIA","077052","ILFOV"
"PISCU","077053","ILFOV"
"CIOROGARLA","077055","ILFOV"
"DARVARI","077056","ILFOV"
"CLINCENI","077060","ILFOV"
"OLTENI","077061","ILFOV"
"ORDOREANU","077062","ILFOV"
"CORBEANCA","077065","ILFOV"
"OSTRATU","077066","ILFOV"
"PETRESTI","077067","ILFOV"
"TAMASI","077068","ILFOV"
"CORNETU","077070","ILFOV"
"BUDA","077071","ILFOV"
"DASCALU","077075","ILFOV"
"CREATA","077076","ILFOV"
"GAGU","077077","ILFOV"
"RUNCU","077078","ILFOV"
"DARASTI-ILFOV","077080","ILFOV"
"DOBROESTI","077085","ILFOV"
"FUNDENI","077086","ILFOV"
"DOMNESTI","077090","ILFOV"
"TEGHES","077091","ILFOV"
"DRAGOMIRESTI-VALE","077095","ILFOV"
"DRAGOMIRESTI-DEAL","077096","ILFOV"
"ZURBAUA","077097","ILFOV"
"GANEASA","077100","ILFOV"
"COZIENI","077101","ILFOV"
"MOARA DOMNEASCA","077102","ILFOV"
"PITEASCA","077103","ILFOV"
"SINDRILITA","077104","ILFOV"
"GLINA","077105","ILFOV"
"CATELU","077106","ILFOV"
"MANOLACHE","077107","ILFOV"
"GRADISTEA","077110","ILFOV"
"SITARU","077111","ILFOV"
"GRUIU","077115","ILFOV"
"LIPIA","077116","ILFOV"
"SILISTEA SNAGOVULUI","077117","ILFOV"
"SANTU-FLORESTI","077118","ILFOV"
"JILAVA","077120","ILFOV"
"MAGURELE","077125","ILFOV"
"ALUNISU","077126","ILFOV"
"DUMITRANA","077127","ILFOV"
"PRUNI","077128","ILFOV"
"VARTEJU","077129","ILFOV"
"MOARA VLASIEI","077130","ILFOV"
"CACIULATI","077131","ILFOV"
"MOGOSOAIA","077135","ILFOV"
"NUCI","077140","ILFOV"
"BALTA NEAGRA","077141","ILFOV"
"MERII PETCHII","077142","ILFOV"
"MICSUNESTI-MOARA","077143","ILFOV"
"MICSUNESTII MARI","077144","ILFOV"
"PANTELIMON","077145","ILFOV"
"PERIS","077150","ILFOV"
"BALTENI","077151","ILFOV"
"BURIAS","077152","ILFOV"
"PETRACHIOAIA","077155","ILFOV"
"MAINEASCA","077156","ILFOV"
"SURLARI","077157","ILFOV"
"VANATORI","077158","ILFOV"
"POPESTI-LEORDENI","077160","ILFOV"
"SNAGOV","077165","ILFOV"
"CIOFLICENI","077166","ILFOV"
"TANCABESTI","077167","ILFOV"
"VLADICEASCA","077168","ILFOV"
"GHERMANESTI","077170","ILFOV"
"STEFANESTII DE JOS","077175","ILFOV"
"CRETULEASCA","077176","ILFOV"
"STEFANESTII DE SUS","077177","ILFOV"
"TUNARI","077180","ILFOV"
"DIMIENI","077181","ILFOV"
"VIDRA","077185","ILFOV"
"CRETESTI","077186","ILFOV"
"SINTESTI","077187","ILFOV"
"VOLUNTARI","077190","ILFOV"
"GIURGIU","080011","GIURGIU"
"BOLINTIN-VALE","085100","GIURGIU"
"CRIVINA","085101","GIURGIU"
"MALU SPART","085102","GIURGIU"
"SUSENI","085103","GIURGIU"
"MIHAILESTI","085200","GIURGIU"
"DRAGANESCU","085201","GIURGIU"
"NOVACI","085202","GIURGIU"
"POPESTI","085203","GIURGIU"
"ADUNATII-COPACENI","087005","GIURGIU"
"DARASTI-VLASCA","087006","GIURGIU"
"MOGOSESTI","087007","GIURGIU"
"VARLAAM","087008","GIURGIU"
"BANEASA","087010","GIURGIU"
"FRASINU","087011","GIURGIU"
"PIETRELE","087012","GIURGIU"
"SFANTU GHEORGHE (BANEASA)","087013","GIURGIU"
"BOLINTIN-DEAL","087015","GIURGIU"
"MIHAI VODA","087016","GIURGIU"
"BUCSANI","087020","GIURGIU"
"ANGHELESTI","087021","GIURGIU"
"GOLEASCA","087022","GIURGIU"
"OBEDENI","087023","GIURGIU"
"PODISOR","087024","GIURGIU"
"UIESTI","087026","GIURGIU"
"VADU LAT","087027","GIURGIU"
"BULBUCATA","087030","GIURGIU"
"COTENI","087031","GIURGIU"
"FACAU","087032","GIURGIU"
"TEISORI","087033","GIURGIU"
"BUTURUGENI","087035","GIURGIU"
"PADURENI","087036","GIURGIU"
